frame,time_s,type,stable_id,class,detail
1,0.03,small_object,13,car,"box 36x28px, conf 0.68"
1,0.03,small_object,23,car,"box 32x22px, conf 0.53"
1,0.03,small_object,24,car,"box 33x27px, conf 0.51"
1,0.03,small_object,25,car,"box 29x34px, conf 0.51"
1,0.03,small_object,27,car,"box 28x27px, conf 0.47"
1,0.03,small_object,28,car,"box 26x21px, conf 0.45"
4,0.13,id_recovered,8,truck,"raw 8 -> 34, mất 1 frame"
6,0.2,occlusion,27&36,,IoU 0.49
8,0.27,small_object,36,car,"box 30x33px, conf 0.39"
9,0.3,small_object,40,car,"box 34x26px, conf 0.42"
9,0.3,id_recovered,30,car,"raw 30 -> 46, mất 0 frame"
11,0.37,id_recovered,19,car,"raw 19 -> 49, mất 1 frame"
12,0.4,occlusion,27&36,,IoU 0.60
15,0.5,id_recovered,30,car,"raw 46 -> 52, mất 5 frame"
17,0.57,id_recovered,28,car,"raw 28 -> 54, mất 11 frame"
18,0.6,id_recovered,13,car,"raw 13 -> 56, mất 6 frame"
18,0.6,occlusion,27&36,,IoU 0.58
21,0.7,small_object,45,car,"box 27x24px, conf 0.37"
24,0.8,small_object,47,car,"box 26x21px, conf 0.41"
26,0.87,id_recovered,39,moto,"raw 44 -> 69, mất 13 frame"
29,0.97,occlusion,17&48,,IoU 0.30
30,1.0,id_recovered,42,truck,"raw 50 -> 72, mất 0 frame"
30,1.0,id_recovered,47,car,"raw 64 -> 74, mất 3 frame"
31,1.03,id_recovered,39,moto,"raw 69 -> 75, mất 1 frame"
32,1.07,small_object,31,car,"box 33x31px, conf 0.51"
35,1.17,id_recovered,45,car,"raw 59 -> 79, mất 12 frame"
38,1.27,id_recovered,16,car,"raw 16 -> 82, mất 2 frame"
39,1.3,id_recovered,40,car,"raw 45 -> 16, mất 28 frame"
39,1.3,occlusion,16&40,,IoU 0.67
41,1.37,occlusion,13&23,,IoU 0.43
43,1.43,id_recovered,13,car,"raw 56 -> 86, mất 1 frame"
43,1.43,id_recovered,23,car,"raw 23 -> 88, mất 1 frame"
43,1.43,id_recovered,47,car,"raw 74 -> 89, mất 10 frame"
43,1.43,occlusion,13&23,,IoU 0.36
44,1.47,id_recovered,24,car,"raw 24 -> 91, mất 1 frame"
44,1.47,small_object,54,moto,"box 25x34px, conf 0.49"
47,1.57,id_recovered,13,car,"raw 86 -> 95, mất 1 frame"
50,1.67,id_recovered,17,truck,"raw 17 -> 96, mất 19 frame"
50,1.67,id_recovered,2,car,"raw 2 -> 98, mất 1 frame"
51,1.7,id_recovered,23,car,"raw 88 -> 99, mất 7 frame"
51,1.7,occlusion,6&23,,IoU 0.50
54,1.8,id_recovered,40,car,"raw 16 -> 100, mất 1 frame"
55,1.83,small_object,6,car,"box 34x30px, conf 0.76"
55,1.83,id_recovered,36,car,"raw 40 -> 101, mất 31 frame"
55,1.83,id_recovered,47,car,"raw 89 -> 102, mất 5 frame"
55,1.83,id_recovered,40,car,"raw 100 -> 16, mất 0 frame"
56,1.87,id_recovered,25,car,"raw 25 -> 104, mất 34 frame"
56,1.87,id_recovered,45,car,"raw 79 -> 105, mất 3 frame"
56,1.87,occlusion,25&27,,IoU 0.52
56,1.87,occlusion,25&45,,IoU 0.41
58,1.93,small_object,16,car,"box 24x20px, conf 0.43"
58,1.93,id_recovered,16,car,"raw 82 -> 106, mất 18 frame"
58,1.93,id_recovered,13,car,"raw 95 -> 107, mất 4 frame"
60,2.0,small_object,56,car,"box 21x25px, conf 0.41"
60,2.0,id_recovered,13,car,"raw 107 -> 109, mất 1 frame"
60,2.0,occlusion,25&27,,IoU 0.44
64,2.13,id_recovered,25,car,"raw 104 -> 111, mất 3 frame"
64,2.13,occlusion,25&27,,IoU 0.57
66,2.2,id_recovered,47,car,"raw 102 -> 89, mất 7 frame"
68,2.27,occlusion,48&55,,IoU 0.30
70,2.33,id_recovered,28,car,"raw 54 -> 95, mất 33 frame"
70,2.33,occlusion,13&28,,IoU 0.45
71,2.37,id_recovered,57,car,"raw 112 -> 117, mất 1 frame"
73,2.43,id_recovered,39,moto,"raw 75 -> 122, mất 23 frame"
74,2.47,id_recovered,45,car,"raw 105 -> 123, mất 15 frame"
74,2.47,id_recovered,51,moto,"raw 80 -> 124, mất 21 frame"
75,2.5,id_recovered,17,car,"raw 96 -> 125, mất 1 frame"
75,2.5,small_object,60,car,"box 28x18px, conf 0.43"
76,2.53,id_recovered,16,car,"raw 106 -> 128, mất 9 frame"
76,2.53,occlusion,48&55,,IoU 0.33
77,2.57,id_recovered,13,car,"raw 109 -> 131, mất 4 frame"
79,2.63,id_recovered,33,truck,"raw 36 -> 132, mất 7 frame"
79,2.63,id_recovered,25,car,"raw 111 -> 133, mất 14 frame"
79,2.63,id_recovered,28,car,"raw 95 -> 134, mất 3 frame"
79,2.63,occlusion,25&27,,IoU 0.50
80,2.67,id_recovered,60,car,"raw 126 -> 135, mất 4 frame"
83,2.77,id_recovered,55,truck,"raw 17 -> 140, mất 1 frame"
83,2.77,id_recovered,25,car,"raw 133 -> 141, mất 3 frame"
83,2.77,id_recovered,39,moto,"raw 122 -> 142, mất 8 frame"
84,2.8,small_object,62,car,"box 18x17px, conf 0.37"
85,2.83,id_recovered,17,car,"raw 125 -> 144, mất 2 frame"
86,2.87,id_recovered,2,car,"raw 98 -> 17, mất 35 frame"
88,2.93,id_recovered,39,moto,"raw 142 -> 147, mất 1 frame"
88,2.93,occlusion,2&48,,IoU 0.31
90,3.0,id_recovered,45,car,"raw 123 -> 104, mất 0 frame"
90,3.0,occlusion,27&45,,IoU 0.40
90,3.0,occlusion,25&45,,IoU 0.50
95,3.17,id_recovered,16,car,"raw 128 -> 152, mất 17 frame"
96,3.2,small_object,61,car,"box 29x34px, conf 0.49"
98,3.27,id_recovered,23,car,"raw 99 -> 161, mất 46 frame"
98,3.27,occlusion,9&23,,IoU 0.46
99,3.3,small_object,65,bus,"box 31x25px, conf 0.23"
101,3.37,small_object,39,moto,"box 26x37px, conf 0.53"
102,3.4,id_recovered,54,moto,"raw 92 -> 163, mất 53 frame"
102,3.4,id_recovered,58,car,"raw 114 -> 164, mất 1 frame"
104,3.47,occlusion,27&45,,IoU 0.33
104,3.47,occlusion,25&45,,IoU 0.58
105,3.5,id_recovered,28,car,"raw 134 -> 168, mất 10 frame"
105,3.5,occlusion,6&28,,IoU 0.55
106,3.53,occlusion,9&23,,IoU 0.57
106,3.53,occlusion,2&48,,IoU 0.42
109,3.63,id_recovered,54,moto,"raw 163 -> 175, mất 5 frame"
110,3.67,occlusion,9&23,,IoU 0.51
111,3.7,occlusion,2&48,,IoU 0.45
114,3.8,occlusion,2&48,,IoU 0.45
115,3.83,id_recovered,25,car,"raw 141 -> 180, mất 6 frame"
116,3.87,id_recovered,54,moto,"raw 175 -> 182, mất 5 frame"
116,3.87,id_recovered,26,car,"raw 26 -> 183, mất 28 frame"
117,3.9,small_object,51,moto,"box 26x39px, conf 0.50"
119,3.97,id_recovered,51,moto,"raw 124 -> 185, mất 1 frame"
120,4.0,id_recovered,69,car,"raw 177 -> 186, mất 1 frame"
122,4.07,id_recovered,56,car,"raw 108 -> 188, mất 28 frame"
123,4.1,small_object,68,moto,"box 25x41px, conf 0.44"
124,4.13,occlusion,2&48,,IoU 0.36
128,4.27,id_recovered,39,moto,"raw 147 -> 195, mất 1 frame"
129,4.3,id_recovered,70,car,"raw 194 -> 196, mất 1 frame"
131,4.37,id_recovered,25,car,"raw 180 -> 198, mất 7 frame"
131,4.37,occlusion,25&45,,IoU 0.30
132,4.4,id_recovered,40,car,"raw 16 -> 200, mất 1 frame"
133,4.43,id_recovered,51,moto,"raw 185 -> 201, mất 2 frame"
