frame,read_ms,track_ms,yolo_pre_ms,yolo_inf_ms,yolo_post_ms,ids_ms,draw_ms,diag_ms,n_tracks,n_small,n_blur,n_occluded_pairs
1,53.59,3414.382,12.321,124.452,3.696,4.178,45.998,13.797,17,10,0,0
2,3.687,125.127,12.085,101.004,2.634,2.026,8.312,1.281,17,10,0,0
3,3.376,116.807,9.467,99.491,1.931,4.104,8.875,2.713,17,10,0,0
4,2.98,116.203,8.262,98.856,2.432,4.066,7.756,2.686,17,11,0,0
5,2.65,118.889,9.271,100.113,2.583,1.979,5.941,1.248,18,11,0,0
6,3.723,116.26,7.743,101.847,1.721,2.188,6.305,1.409,19,12,0,0
7,2.625,123.632,9.29,105.678,3.232,2.133,4.913,1.634,18,11,0,0
8,3.757,136.289,8.657,122.146,1.895,1.671,6.367,8.807,19,11,0,0
9,3.118,133.02,13.554,110.849,2.85,3.231,6.734,2.683,19,11,0,0
10,2.419,113.84,9.093,96.563,2.665,2.995,6.243,2.598,19,11,0,0
11,2.489,115.555,10.518,96.542,2.867,3.066,6.964,2.887,19,11,0,0
12,3.045,129.97,11.44,110.547,2.497,2.945,6.356,2.812,19,11,0,0
13,2.728,123.658,11.43,104.195,2.521,3.005,8.225,2.75,20,12,0,0
14,2.609,116.615,8.994,99.285,2.718,7.569,6.838,4.444,20,12,0,0
15,2.707,124.914,15.087,101.549,2.531,3.419,6.289,2.776,20,12,0,0
16,2.79,115.338,9.696,97.312,2.647,3.222,6.583,2.975,20,12,0,0
17,2.793,114.243,10.723,94.993,2.71,3.229,6.746,2.937,20,12,0,0
18,2.795,114.252,9.096,96.268,2.599,3.252,6.569,2.951,21,12,0,0
19,2.813,113.005,10.171,94.159,2.727,3.335,7.261,3.076,21,12,0,0
20,2.725,115.102,9.262,96.772,2.724,3.405,7.212,3.766,20,11,0,0
21,3.129,137.899,14.612,114.803,2.585,3.107,6.518,2.739,20,11,0,0
22,2.669,132.246,11.043,110.401,3.449,4.817,8.858,3.88,20,11,0,0
23,3.393,128.434,14.992,102.867,3.194,4.392,8.883,3.432,20,11,0,0
24,3.376,127.407,12.0,104.244,3.308,5.17,9.316,4.127,21,12,0,0
25,3.616,147.367,14.312,115.686,5.518,5.261,12.41,3.491,19,11,0,0
26,4.545,142.164,15.214,113.031,3.494,5.256,9.722,13.263,22,13,0,1
27,4.044,152.671,16.302,120.67,4.099,6.331,9.078,3.821,22,13,0,1
28,4.006,124.421,11.019,102.09,3.603,4.803,8.956,3.355,22,13,0,1
29,2.928,123.89,12.99,99.84,3.208,5.093,8.924,3.597,22,13,0,1
30,3.6,152.686,11.464,135.267,1.879,4.614,5.116,1.503,22,13,0,1
31,3.257,145.858,10.332,126.222,2.837,2.636,5.67,1.356,22,12,0,1
32,2.457,123.197,6.944,110.384,2.056,1.654,4.898,1.459,21,11,0,1
33,2.203,114.931,8.059,101.522,2.078,2.345,6.168,1.7,21,11,0,1
34,2.837,117.371,7.762,103.656,1.832,2.375,6.051,1.697,21,11,0,1
35,2.654,107.002,7.293,94.054,1.76,2.16,5.929,1.614,21,11,0,1
