frame,read_ms,track_ms,yolo_pre_ms,yolo_inf_ms,yolo_post_ms,ids_ms,draw_ms,diag_ms,n_tracks,n_small,n_blur,n_occluded_pairs
1,131.851,3699.978,52.495,128.117,89.117,13.767,110.955,52.549,30,6,0,0
2,5.756,165.264,13.864,102.564,2.565,2.672,26.434,4.793,30,6,0,0
3,6.837,120.012,12.206,99.954,1.833,4.047,19.907,3.655,30,6,0,0
4,5.931,125.106,11.062,106.089,2.012,4.395,16.263,17.123,33,6,0,0
5,5.261,119.405,11.777,99.315,1.96,11.333,20.456,5.67,33,6,0,0
6,4.689,114.851,10.649,96.155,1.868,2.951,17.926,17.091,33,5,0,1
7,4.544,117.711,11.481,99.79,1.804,2.515,17.721,4.522,34,5,0,1
8,4.758,119.39,10.722,100.358,1.857,3.102,17.496,5.164,34,5,0,0
9,6.054,124.583,11.025,105.655,1.722,3.585,17.853,4.201,36,5,0,0
10,6.611,116.184,11.896,96.75,1.687,3.099,20.133,4.458,34,5,0,0
11,7.135,115.721,9.512,98.091,1.833,3.012,18.696,4.444,34,3,0,0
12,5.263,114.778,10.769,97.195,1.791,2.615,19.214,3.944,34,2,0,1
13,12.755,117.49,12.701,98.011,1.579,2.874,21.548,4.628,33,2,0,1
14,4.793,114.17,10.055,95.853,1.962,3.011,19.827,4.445,31,2,0,0
15,6.33,114.984,10.423,98.104,1.591,2.359,20.224,3.745,32,1,0,0
16,5.474,115.827,10.951,98.41,1.578,2.847,19.234,4.576,32,2,0,0
17,4.98,119.438,9.772,102.909,1.567,3.203,20.169,4.708,33,3,0,0
18,5.183,122.622,11.937,102.256,1.882,2.956,19.988,4.789,33,5,0,1
19,5.734,118.314,12.347,99.317,1.676,2.521,17.559,4.718,35,6,0,1
20,4.652,120.419,10.683,101.453,1.961,3.178,18.43,5.099,36,6,0,1
21,4.422,115.214,10.332,97.843,1.781,2.645,16.482,4.125,37,6,0,1
22,6.634,118.114,12.952,97.94,1.63,2.678,17.463,4.257,38,6,0,1
23,5.946,113.661,9.846,96.854,1.89,2.548,16.86,3.573,35,6,0,1
24,5.147,124.309,10.728,106.205,1.809,2.775,16.106,4.587,38,6,0,0
25,5.276,115.597,10.092,98.463,1.661,3.434,21.582,5.624,39,6,0,0
26,4.931,117.562,11.013,99.289,1.875,3.585,18.762,5.787,41,6,0,0
27,5.141,117.205,10.308,99.63,1.843,2.695,18.899,5.615,40,5,0,0
28,5.062,114.863,10.602,96.294,1.827,3.416,19.967,5.641,41,5,0,0
29,4.832,120.127,9.897,101.964,1.925,3.354,20.714,5.547,40,4,0,1
30,4.86,117.959,11.14,98.276,1.866,3.44,19.309,5.166,39,6,0,0
31,6.769,112.57,9.349,96.25,1.715,2.727,17.174,4.257,39,6,0,0
32,5.668,115.572,10.865,97.896,1.539,2.62,19.102,5.567,39,7,0,0
33,5.526,118.186,11.014,99.686,1.774,3.221,20.317,4.483,38,6,0,0
34,5.509,116.67,11.38,96.923,1.794,3.048,18.797,4.228,35,5,0,0
35,5.468,116.202,9.95,97.715,1.811,3.439,19.574,4.62,39,5,0,0
36,5.507,123.876,12.182,103.332,1.785,3.461,20.239,4.655,40,5,0,0
37,8.513,132.301,15.63,108.009,2.022,3.548,21.143,5.206,39,5,0,0
38,6.962,127.929,14.489,104.732,1.81,3.375,17.273,5.121,38,5,0,0
39,5.446,126.627,10.788,107.731,1.786,3.535,18.676,5.67,40,5,0,1
40,4.88,126.998,11.638,106.606,1.962,3.545,19.844,5.972,39,5,0,0
41,6.874,120.041,11.417,100.935,1.845,3.225,18.983,5.703,38,4,0,1
42,6.638,127.183,14.293,103.976,2.135,3.293,19.626,5.038,38,4,0,0
43,5.844,122.358,9.523,103.901,1.945,3.644,19.263,4.57,41,5,0,1
44,6.53,123.507,12.83,102.069,1.841,3.457,20.701,4.497,40,6,0,0
45,5.864,118.004,9.58,98.655,2.231,3.921,19.567,4.749,39,5,0,0
46,5.865,126.732,13.592,104.675,1.823,3.594,21.371,4.724,37,3,0,0
47,4.503,122.346,9.651,103.471,1.981,3.937,19.4,4.874,39,5,0,0
48,4.939,126.615,12.271,104.965,2.006,4.005,20.885,4.719,41,4,0,0
49,3.852,125.602,10.018,106.815,1.939,4.079,21.148,4.845,39,3,0,0
50,3.774,117.183,10.83,98.634,2.041,4.032,20.427,4.71,40,2,0,0
51,4.947,114.837,10.458,97.541,1.677,3.448,17.544,4.169,39,3,0,1
52,4.529,118.225,11.643,98.662,1.995,3.22,18.13,4.128,38,2,0,0
53,4.248,121.832,9.528,103.46,2.289,3.625,19.557,4.612,34,2,0,0
54,4.555,118.969,10.7,98.545,1.908,3.725,20.901,4.591,35,2,0,0
